seed,scenario,strategy,requests,mean_total_latency_ms,p95_total_latency_ms,mean_infer_energy_j,quality_sla_rate,latency_sla_rate,joint_sla_rate,mean_budget_retention,switch_rate_per_100,mean_rl_reward
2026,nominal,dynamic_budget_q8,1000,6963.248203556333,10416.238791335265,33.22365921398729,0.888,0.995,0.884,0.65625,0.1,0.55421196991257
2026,nominal,greedy_sla,1000,3775.698717167986,6222.818602416704,16.5603971882489,0.721,0.999,0.72,0.313625,0.0,0.5387109260028029
2026,nominal,q_learning_empirical,1000,4392.57034978447,7120.974361286212,19.70189370314729,0.899,0.995,0.895,0.3375,0.1,0.6852661695689677
2026,nominal,static_q4,1000,8675.601117001122,15265.378167696439,42.49558059056569,0.732,0.729,0.534,1.0,0.0,0.11868437544860173
2026,nominal,static_q8,1000,11052.058960707625,19841.65880588695,54.730803796603084,0.904,0.409,0.364,1.0,0.1,-0.15132698178595652
2027,nominal,dynamic_budget_q8,1000,6960.624753986842,10488.866422322404,33.08869720543045,0.879,0.992,0.873,0.66075,0.1,0.5430145494008948
2027,nominal,greedy_sla,1000,3804.6357650723326,6350.125497639418,16.591638172995534,0.714,0.999,0.713,0.318,0.0,0.5303919835225517
2027,nominal,q_learning_empirical,1000,4628.2072187801805,7262.354938348587,20.82018097024341,0.882,0.992,0.874,0.366125,0.1,0.6556594679076948
2027,nominal,static_q4,1000,8614.483581810551,15293.064177129014,42.05016266699092,0.745,0.729,0.551,1.0,0.0,0.13793479951522403
2027,nominal,static_q8,1000,10989.00045224782,19844.735856030427,54.277953378283186,0.896,0.414,0.371,1.0,0.1,-0.1417403857829979
2028,nominal,dynamic_budget_q8,1000,6943.596956106677,10314.326635535099,33.23024030449931,0.904,0.995,0.899,0.646625,0.1,0.5697753741264812
2028,nominal,greedy_sla,1000,3745.8204830069144,5915.721708669413,16.512888126307836,0.732,1.0,0.732,0.31,0.0,0.5519630897504492
2028,nominal,q_learning_empirical,1000,4370.348668114703,6589.0523387420035,19.69495430966153,0.888,0.998,0.886,0.3255,0.1,0.6774899467384163
2028,nominal,static_q4,1000,8800.808771686587,15369.68947314239,43.26894113828934,0.734,0.72,0.527,1.0,0.0,0.10460204281170517
2028,nominal,static_q8,1000,11224.125101802807,19834.659041995317,55.74581835086096,0.878,0.397,0.345,1.0,0.1,-0.17812546069994808
