device,backend,model,task_id,task_type,schema_valid,field_score,correct_fields,total_fields,latency_ms,parse_error,raw_output,parsed_json
yahboom_nano,ollama,qwen2.5-0.5b-q4:latest,extract_001,json_extract,1,0.2,1,5,7579.951424151659,," {""location"": ""Gateway A"", ""sensor"": ""kitchen temperature"", ""value"": ""31.5 C"", ""unit"": ""Celsius"", ""status"": ""warning""}","{""location"": ""Gateway A"", ""sensor"": ""kitchen temperature"", ""value"": ""31.5 C"", ""unit"": ""Celsius"", ""status"": ""warning""}"
yahboom_nano,ollama,qwen2.5-0.5b-q4:latest,extract_002,json_extract,1,0.4,2,5,5259.992654900998,," {""location"": ""Node-7"", ""sensor"": ""warehouse humidity"", ""value"": ""78"", ""unit"": ""percent"", ""status"": ""high""}","{""location"": ""Node-7"", ""sensor"": ""warehouse humidity"", ""value"": ""78"", ""unit"": ""percent"", ""status"": ""high""}"
yahboom_nano,ollama,qwen2.5-0.5b-q4:latest,extract_003,json_extract,1,0.8,4,5,5363.979972200468,," {""location"": ""pump room"", ""sensor"": ""vibration"", ""value"": ""6.2 mm/s"", ""unit"": ""mm/s"", ""status"": ""critical""}","{""location"": ""pump room"", ""sensor"": ""vibration"", ""value"": ""6.2 mm/s"", ""unit"": ""mm/s"", ""status"": ""critical""}"
yahboom_nano,ollama,qwen2.5-0.5b-q4:latest,extract_004,json_extract,1,0.8,4,5,5504.297367995605,," ```json\n{\n  ""location"": """",\n  ""sensor"": ""CO2"",\n  ""value"": 940,\n  ""unit"": ""ppm"",\n  ""status"": ""normal""\n}\n```","{""location"": """", ""sensor"": ""CO2"", ""value"": 940, ""unit"": ""ppm"", ""status"": ""normal""}"
yahboom_nano,ollama,qwen2.5-0.5b-q4:latest,extract_005,json_extract,1,0.8,4,5,5178.98211395368,," {""location"": ""Greenhouse"", ""sensor"": ""soil moisture"", ""value"": ""19"", ""unit"": ""percent"", ""status"": ""low""}","{""location"": ""Greenhouse"", ""sensor"": ""soil moisture"", ""value"": ""19"", ""unit"": ""percent"", ""status"": ""low""}"
yahboom_nano,ollama,qwen2.5-0.5b-q4:latest,extract_006,json_extract,1,0.6,3,5,5211.845075944439,," {""location"": ""Rack 3"", ""sensor"": ""current sensor"", ""value"": ""12.4 A"", ""unit"": ""A"", ""status"": ""overload""}","{""location"": ""Rack 3"", ""sensor"": ""current sensor"", ""value"": ""12.4 A"", ""unit"": ""A"", ""status"": ""overload""}"
yahboom_nano,ollama,qwen2.5-0.5b-q4:latest,control_001,control_intent,1,0.5,2,4,5086.1188429407775,," {""action"": ""set"", ""target"": ""greenhouseFanSpeed"", ""value"": ""70"", ""unit"": ""percent""}","{""action"": ""set"", ""target"": ""greenhouseFanSpeed"", ""value"": ""70"", ""unit"": ""percent""}"
yahboom_nano,ollama,qwen2.5-0.5b-q4:latest,control_002,control_intent,1,0.5,2,4,4277.195686008781,," {""action"": ""Turn off"", ""target"": ""irrigation pump 2"", ""value"": """", ""unit"": """"}","{""action"": ""Turn off"", ""target"": ""irrigation pump 2"", ""value"": """", ""unit"": """"}"
yahboom_nano,ollama,qwen2.5-0.5b-q4:latest,control_003,control_intent,1,0.5,2,4,3662.0558958966285,," {""action"":""Raise"",""target"":""freezer"",""value"":""-12"",""unit"":""C""}","{""action"": ""Raise"", ""target"": ""freezer"", ""value"": ""-12"", ""unit"": ""C""}"
yahboom_nano,ollama,qwen2.5-0.5b-q4:latest,control_004,control_intent,1,0.25,1,4,3844.043907010928,," {""action"": ""set"", ""target"": ""speed_limit"", ""value"": 1.5}","{""action"": ""set"", ""target"": ""speed_limit"", ""value"": 1.5}"
yahboom_nano,ollama,qwen2.5-0.5b-q4:latest,control_005,control_intent,1,0.25,1,4,3694.111712044105,," {""action"": ""Enable"", ""target"": ""rack 3"", ""value"": ""cooling"", ""unit"": ""C""}","{""action"": ""Enable"", ""target"": ""rack 3"", ""value"": ""cooling"", ""unit"": ""C""}"
yahboom_nano,ollama,qwen2.5-0.5b-q4:latest,control_006,control_intent,1,0.25,1,4,3312.1852029580623,," {""action"": ""disable"", ""target"": ""hallway"", ""value"": ""motion"", ""unit"": ""hour""}","{""action"": ""disable"", ""target"": ""hallway"", ""value"": ""motion"", ""unit"": ""hour""}"
yahboom_nano,ollama,qwen2.5-0.5b-q4:latest,anomaly_001,anomaly_triage,1,0.3333333333333333,1,3,5777.040208922699,," ```json\n{\n  ""anomaly_sensor"": ""temperature"",\n  ""severity"": ""high"",\n  ""reason"": ""vibration""\n}\n```","{""anomaly_sensor"": ""temperature"", ""severity"": ""high"", ""reason"": ""vibration""}"
yahboom_nano,ollama,qwen2.5-0.5b-q4:latest,anomaly_002,anomaly_triage,1,0.6666666666666666,2,3,6911.69342584908,," ```json\n{\n  ""anomaly_sensor"": ""CO2"",\n  ""severity"": ""critical"",\n  ""reason"": ""CO2 readings of 1650 ppm are considered abnormal and may indicate a problem with the system.""\n}\n```","{""anomaly_sensor"": ""CO2"", ""severity"": ""critical"", ""reason"": ""CO2 readings of 1650 ppm are considered abnormal and may indicate a problem with the system.""}"
yahboom_nano,ollama,qwen2.5-0.5b-q4:latest,anomaly_003,anomaly_triage,1,0.0,0,3,6169.266068842262,," ```json\n{\n  ""anomaly_sensor"": ""current"",\n  ""severity"": ""normal"",\n  ""reason"": ""Voltage is too low""\n}\n```","{""anomaly_sensor"": ""current"", ""severity"": ""normal"", ""reason"": ""Voltage is too low""}"
