device,backend,model,task_id,task_type,schema_valid,field_score,correct_fields,total_fields,latency_ms,parse_error,raw_output,parsed_json
yahboom_nano,ollama,qwen3-0.6b-q8:latest,extract_001,json_extract,1,1.0,5,5,15302.475292934105,," { ""location"": ""kitchen"", ""sensor"": ""temperature"", ""value"": 31.5, ""unit"": ""C"", ""status"": ""warning"" }\nAnswer:\n{""location"": ""kitchen"", ""sensor"": ""temperature"", ""value"": 31.5, ""unit"":","{""location"": ""kitchen"", ""sensor"": ""temperature"", ""value"": 31.5, ""unit"": ""C"", ""status"": ""warning""}"
yahboom_nano,ollama,qwen3-0.6b-q8:latest,extract_002,json_extract,1,1.0,5,5,9740.810957970098,," { ""location"": ""warehouse"", ""sensor"": ""humidity"", ""value"": 78, ""unit"": ""percent"", ""status"": ""high"" }\nAnswer:\n{""location"": ""warehouse"", ""sensor"": ""humidity"", ""value"": 78, ""unit"": ""percent"", ""status"":","{""location"": ""warehouse"", ""sensor"": ""humidity"", ""value"": 78, ""unit"": ""percent"", ""status"": ""high""}"
yahboom_nano,ollama,qwen3-0.6b-q8:latest,extract_003,json_extract,1,1.0,5,5,10789.92285602726,," "" { ""location"": ""pump room"", ""sensor"": ""vibration"", ""value"": 6.2, ""unit"": ""mm/s"", ""status"": ""critical"" }\nAnswer:\n{""location"": ""pump room"", ""sensor"": ""vibration"", ""value"": 6.2,","{""location"": ""pump room"", ""sensor"": ""vibration"", ""value"": 6.2, ""unit"": ""mm/s"", ""status"": ""critical""}"
yahboom_nano,ollama,qwen3-0.6b-q8:latest,extract_004,json_extract,1,0.8,4,5,9983.361078891903,," { ""location"": ""Outdoor"", ""sensor"": ""air_quality"", ""value"": 940, ""unit"": ""ppm"", ""status"": ""normal"" }\nAnswer:\n{""location"": ""Outdoor"", ""sensor"": ""air_quality"", ""value"": 940, ""unit"": ""","{""location"": ""Outdoor"", ""sensor"": ""air_quality"", ""value"": 940, ""unit"": ""ppm"", ""status"": ""normal""}"
yahboom_nano,ollama,qwen3-0.6b-q8:latest,extract_005,json_extract,1,1.0,5,5,9803.227298194543,," { ""location"": ""Greenhouse"", ""sensor"": ""soil_moisture"", ""value"": 19, ""unit"": ""percent"", ""status"": ""low"" }\nAnswer:\n{""location"": ""Greenhouse"", ""sensor"": ""soil_moisture"", ""value"": 19","{""location"": ""Greenhouse"", ""sensor"": ""soil_moisture"", ""value"": 19, ""unit"": ""percent"", ""status"": ""low""}"
yahboom_nano,ollama,qwen3-0.6b-q8:latest,extract_006,json_extract,1,1.0,5,5,10483.875981066376,," { ""location"": ""Rack 3"", ""sensor"": ""current"", ""value"": 12.4, ""unit"": ""A"", ""status"": ""overload"" }\nAnswer:\n{""location"": ""Rack 3"", ""sensor"": ""current"", ""value"": 12.","{""location"": ""Rack 3"", ""sensor"": ""current"", ""value"": 12.4, ""unit"": ""A"", ""status"": ""overload""}"
yahboom_nano,ollama,qwen3-0.6b-q8:latest,control_001,control_intent,1,0.75,3,4,10253.272550879046,," { ""action"": ""SET"", ""target"": ""fan"", ""value"": 70, ""unit"": ""percent"" }\nAnswer:\n{""action"": ""SET"", ""target"": ""fan"", ""value"": 70, ""unit"": ""percent""}\n\nAnswer:\n{""action"": ""SET"", ""","{""action"": ""SET"", ""target"": ""fan"", ""value"": 70, ""unit"": ""percent""}"
yahboom_nano,ollama,qwen3-0.6b-q8:latest,control_002,control_intent,1,0.5,2,4,9221.843975130469,,"target { ""action"": ""turn_off"", ""target"": ""irrigation_pump_2"", ""value"": ""now"", ""unit"": ""now"" }\nAnswer:\n{""action"": ""turn_off"", ""target"": ""irrigation_pump_2"", ""value"": ""now"", ""unit"":","{""action"": ""turn_off"", ""target"": ""irrigation_pump_2"", ""value"": ""now"", ""unit"": ""now""}"
yahboom_nano,ollama,qwen3-0.6b-q8:latest,control_003,control_intent,1,0.5,2,4,10247.244053054601,," { ""action"": ""raise"", ""target"": ""freezer"", ""value"": ""12"", ""unit"": ""C"" }\nAnswer:\n{""action"": ""raise"", ""target"": ""freezer"", ""value"": ""12"", ""unit"": ""C""}\n\nThe command is to raise the freezer","{""action"": ""raise"", ""target"": ""freezer"", ""value"": ""12"", ""unit"": ""C""}"
yahboom_nano,ollama,qwen3-0.6b-q8:latest,control_004,control_intent,1,0.75,3,4,9636.672644875944,," { ""action"": ""lower"", ""target"": ""speed"", ""value"": 1.5, ""unit"": ""m/s"" }\nAnswer:\n{""action"": ""lower"", ""target"": ""speed"", ""value"": 1.5, ""unit"": ""m/s""}\n\nAnswer:\n{""action"":","{""action"": ""lower"", ""target"": ""speed"", ""value"": 1.5, ""unit"": ""m/s""}"
