condition,value,n,q8_action_rate,q4_action_rate,mean_selected_budget,budget_retention,joint_sla_rate,mean_latency_ms
quality_sla,0.45,42000,0.9098809523809523,0.09011904761904765,16.025142857142857,0.31112797619047616,0.9724285714285714,4421.1313361244265
quality_sla,0.65,8000,0.995625,0.004375000000000018,16.094,0.312734375,0.994625,4477.733667728792
requested_budget,32,17310,0.9161178509532062,0.08388214904679381,16.027729636048527,0.5008665511265165,0.9767764298093587,4419.490150422491
requested_budget,64,22350,0.9318568232662192,0.06814317673378079,16.05082774049217,0.25079418344519017,0.9760178970917226,4442.233911849765
requested_budget,128,10340,0.9182785299806576,0.08172147001934238,16.018568665377177,0.1251450676982592,0.9745647969052225,4422.058319671246
burst,0,45169,0.9229781487303239,0.07702185126967609,16.021607739821558,0.31131417565144237,0.9977196749983396,4061.893012710568
burst,1,4831,0.9294141999586008,0.07058580004139925,16.172221072241772,0.31204719519768165,0.7727178637963155,7873.678320830597
rtt_scale,1.0,40000,0.9245,0.07550000000000001,16.0448,0.311753125,0.979375,4417.862827874433
rtt_scale,1.5,10000,0.92,0.07999999999999996,16.0016,0.3099125,0.9624,4479.487234407896
loss_rate,0.00,40000,0.92095,0.07904999999999995,16.0172,0.310565625,0.976725,4345.683036288923
loss_rate,0.06,10000,0.9342,0.06579999999999997,16.112,0.3146625,0.973,4768.206400749936
scenario,burst_30,10000,0.92,0.07999999999999996,16.0256,0.311125,0.9936,4320.339556832223
scenario,burst_40_loss,10000,0.9342,0.06579999999999997,16.112,0.3146625,0.973,4768.206400749936
scenario,nominal,10000,0.92,0.07999999999999996,16.024,0.3102875,0.9943,4262.34599650879
scenario,rtt_x1_5,10000,0.92,0.07999999999999996,16.0016,0.3099125,0.9624,4479.487234407896
scenario,tight_deadline,10000,0.9238,0.07620000000000005,16.0176,0.3109375,0.9566,4320.55935740678
