scenario,seed,requests,joint_sla_rate,quality_sla_rate,latency_sla_rate,mean_latency_ms,mean_energy_j,q8_action_rate,reward
clean,2026,1000,0.996,1.0,0.996,4270.6211191902,18.816513912312406,0.92,0.7911946144258324
clean,2027,1000,0.994,1.0,0.994,4158.258226682615,18.719169876229458,0.92,0.7944498072548116
clean,2028,1000,0.996,1.0,0.996,4232.462632268105,18.72716551998097,0.92,0.7930770050109137
clean,2029,1000,0.994,1.0,0.994,4378.834145984665,18.81988758065764,0.92,0.7840888869357657
clean,2030,1000,0.999,1.0,0.999,4188.374983688022,18.695614412815917,0.92,0.798547129147772
clean,2031,1000,0.997,1.0,0.997,4251.788350586083,18.77771714826185,0.92,0.7931988570380824
clean,2032,1000,0.993,1.0,0.993,4223.053204054279,18.867309344822257,0.92,0.7908123095288186
clean,2033,1000,0.998,1.0,0.998,4246.665175204544,18.70393314491297,0.92,0.7942895340120518
clean,2034,1000,0.99,1.0,0.99,4177.137919831024,18.645993834641136,0.92,0.7896771469775283
clean,2035,1000,0.993,1.0,0.993,4249.346083529992,18.632024530900797,0.92,0.7891560799281556
false_negative_15,2026,1000,0.997,1.0,0.997,4464.176036091567,19.835290763238614,0.92,0.7847961332165141
false_negative_15,2027,1000,0.994,1.0,0.994,4189.065500663194,18.88199079564665,0.92,0.7930343664736466
false_negative_15,2028,1000,0.996,1.0,0.996,4372.120193377338,19.463109350959495,0.92,0.7873303542178197
false_negative_15,2029,1000,0.994,1.0,0.994,4467.562155220633,19.289006325201346,0.92,0.7798147531492132
false_negative_15,2030,1000,0.998,1.0,0.998,4422.959389029095,19.92124219215394,1.0,0.7881984158107935
false_negative_15,2031,1000,0.997,1.0,0.997,4429.214398235946,19.702700452257922,1.0,0.7860670124638466
false_negative_15,2032,1000,0.994,1.0,0.994,4364.361597438199,19.602470512290658,0.999,0.7859968041770282
false_negative_15,2033,1000,0.998,1.0,0.998,4271.356042997355,18.834533057302906,0.92,0.7931192322510645
false_negative_15,2034,1000,0.99,1.0,0.99,4778.520971656181,21.801107719236423,0.999,0.7617723882301631
false_negative_15,2035,1000,0.993,1.0,0.993,4293.476930578154,18.85599993279563,0.999,0.7869905989356836
false_positive_15,2026,1000,0.997,1.0,0.997,4261.289773564277,18.767431034320047,0.92,0.7926611817071284
false_positive_15,2027,1000,0.994,1.0,0.994,4158.184568041729,18.718782431778397,0.92,0.794485832613372
false_positive_15,2028,1000,0.996,1.0,0.996,4232.462632268105,18.72716551998097,0.92,0.7930770050109137
false_positive_15,2029,1000,0.994,1.0,0.994,4391.710424506951,18.887616805684864,0.92,0.7835754404827601
false_positive_15,2030,1000,0.999,1.0,0.999,4188.374983688022,18.695614412815917,0.92,0.798547129147772
false_positive_15,2031,1000,0.997,1.0,0.997,4264.769656168775,18.845998815626817,0.92,0.7927120580787312
false_positive_15,2032,1000,0.994,1.0,0.994,4218.018929259396,18.840829059401173,0.92,0.7920010948336268
false_positive_15,2033,1000,0.998,1.0,0.998,4244.218294530956,18.6910625525699,0.92,0.7944118780457312
false_positive_15,2034,1000,0.99,1.0,0.99,4179.76693462528,18.659822452458922,0.92,0.7895137970356784
false_positive_15,2035,1000,0.993,1.0,0.993,4251.89801970096,18.64544771516009,0.92,0.7890603823217444
false_positive_30,2026,1000,0.997,1.0,0.997,4261.289773564277,18.767431034320047,0.92,0.7926611817071284
false_positive_30,2027,1000,0.994,1.0,0.994,4155.597173920434,18.705172738700387,0.92,0.7945828598929207
false_positive_30,2028,1000,0.996,1.0,0.996,4232.462632268105,18.72716551998097,0.92,0.7930770050109137
false_positive_30,2029,1000,0.994,1.0,0.994,4380.021384162472,18.82617163233277,0.92,0.7840295250268754
false_positive_30,2030,1000,0.999,1.0,0.999,4188.374983688022,18.695614412815917,0.92,0.798547129147772
false_positive_30,2031,1000,0.997,1.0,0.997,4264.769656168775,18.845998815626817,0.92,0.7927120580787312
false_positive_30,2032,1000,0.994,1.0,0.994,4222.242398323498,18.863044506678342,0.92,0.791842714743723
false_positive_30,2033,1000,0.998,1.0,0.998,4244.218294530956,18.6910625525699,0.92,0.7944118780457312
false_positive_30,2034,1000,0.99,1.0,0.99,4174.585983660057,18.632570650381847,0.92,0.7897728445839396
false_positive_30,2035,1000,0.993,1.0,0.993,4250.335603399039,18.637229405411986,0.92,0.7891385031368403
symmetric_15,2026,1000,0.996,1.0,0.996,4322.715129729282,19.082417890821013,0.999,0.7886431982084313
symmetric_15,2027,1000,0.994,1.0,0.994,4187.296148835666,18.863604016014218,1.0,0.792976044072159
symmetric_15,2028,1000,0.996,1.0,0.996,4699.886634631877,21.187763254216314,0.92,0.769966053153859
symmetric_15,2029,1000,0.994,1.0,0.994,4643.488009361628,20.213116470787995,0.92,0.7736983383357376
symmetric_15,2030,1000,0.999,1.0,0.999,5270.628934162189,24.389256402519216,0.92,0.748026466540708
symmetric_15,2031,1000,0.997,1.0,0.997,4844.743166564541,21.888484918226343,0.999,0.7660604522208322
symmetric_15,2032,1000,0.994,1.0,0.994,4385.893922139808,19.725201258198954,0.92,0.7851945188707551
symmetric_15,2033,1000,0.998,1.0,0.998,5143.5267375682215,23.413129823530625,1.0,0.7518244012128764
symmetric_15,2034,1000,0.99,1.0,0.99,4324.576543766096,19.413414881974663,0.998,0.7835917196989535
symmetric_15,2035,1000,0.993,1.0,0.993,4449.15114434169,19.67497909735429,0.998,0.7811457303058464
