noise_rate,seed,requests,joint_sla_rate,mean_latency_ms,mean_energy_j,q8_action_rate,reward
0.0,2026,1000,0.997,4234.449955077833,18.878464884165716,0.92,0.7937532218233658
0.0,2027,1000,0.996,4203.404216015458,18.593971923385002,0.92,0.794410614572428
0.0,2028,1000,0.998,4191.812275618519,18.76412434652056,0.92,0.7965659918767114
0.0,2029,1000,0.992,4366.9393426480665,18.787624266614483,0.92,0.7824983941535262
0.0,2030,1000,0.995,4287.194063580052,18.772762397486307,0.92,0.7893366401455166
0.0,2031,1000,0.996,4184.109975733676,18.676873700870562,0.92,0.795197218579047
0.0,2032,1000,0.997,4306.5996603415615,18.85781888780168,0.92,0.7910652182303456
0.0,2033,1000,0.996,4306.450546777131,18.76722672845708,0.92,0.7894899813011691
0.0,2034,1000,0.994,4257.803124339131,18.759901326716452,0.92,0.7897974598139126
0.0,2035,1000,0.994,4268.685625299951,18.756688749055368,0.92,0.7889944452226553
0.05,2026,1000,0.996,5103.695936495794,23.443292879708693,0.992,0.7492690556774677
0.05,2027,1000,0.996,4255.093975169936,18.867143445931408,0.92,0.7919861162579794
0.05,2028,1000,0.998,4227.015520896902,18.941746642427994,0.993,0.7947839625377924
0.05,2029,1000,0.991,5259.208011137523,23.472828576374475,0.999,0.7371715691581091
0.05,2030,1000,0.995,5103.357857638794,23.06578395423529,0.92,0.7500234479405992
0.05,2031,1000,0.996,4186.556856407264,18.689744293213632,0.92,0.7951054605537875
0.05,2032,1000,0.997,4647.740571218467,20.644332192407763,0.997,0.7777138409413388
0.05,2033,1000,0.995,5590.756150577114,25.515137646579806,0.994,0.7244191414644512
0.05,2034,1000,0.993,4377.653985414773,19.38210760439885,0.999,0.783759743095899
0.05,2035,1000,0.994,4798.5444413712385,21.535706719743665,0.998,0.7640764868449734
0.15,2026,1000,0.997,4448.9615947799075,20.007340559347654,0.92,0.7855028041417271
0.15,2027,1000,0.996,4236.9342843344075,18.77089922170394,0.92,0.7929090995228654
0.15,2028,1000,0.998,4324.633892319591,19.464086094386474,0.92,0.7910851645768288
0.15,2029,1000,0.992,4409.698244333996,19.004407202987924,0.999,0.7804046570750122
0.15,2030,1000,0.995,6212.113805942858,28.889755796710496,0.998,0.693385887232855
0.15,2031,1000,0.996,4861.139517077683,22.238049088340038,0.92,0.7613457415118466
0.15,2032,1000,0.997,4438.242128419481,19.5420449302283,1.0,0.7856228127089749
0.15,2033,1000,0.996,4341.840849035454,18.954198791237594,0.92,0.7878516770048777
0.15,2034,1000,0.993,4748.628880750753,21.334959684203085,0.986,0.7659065045316492
0.15,2035,1000,0.994,4307.820589195988,18.95429849722583,1.0,0.787063170747017
0.3,2026,1000,0.996,4270.949365803627,19.063045917867896,0.992,0.790906384212076
0.3,2027,1000,0.996,4256.295662832841,18.863926185960405,1.0,0.791857591031505
0.3,2028,1000,0.998,4829.474665191703,22.11954855969379,0.92,0.7648127192572868
0.3,2029,1000,0.992,4407.015448511229,18.990188763685428,1.0,0.7805050642118843
0.3,2030,1000,0.995,4415.647375875413,19.449809579977913,0.92,0.7840349286836524
0.3,2031,1000,0.996,5551.686963155772,25.862121758221107,1.0,0.7288143314911687
0.3,2032,1000,0.996,4937.434392931184,22.16856612054681,0.994,0.7608632688167383
0.3,2033,1000,0.994,4989.459093773141,22.351698822717243,0.999,0.7534621319841136
0.3,2034,1000,0.993,5551.680789040838,25.558821177126298,0.986,0.7288559883572538
0.3,2035,1000,0.994,5005.1958064465025,22.631779046648855,0.92,0.7538350866923706
