device,backend,model,task_id,task_type,schema_valid,field_score,correct_fields,total_fields,latency_ms,parse_error,raw_output,parsed_json
RTX_5060_Ti_8GB,hf,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,extract_001,json_extract,1,1.0,5,5,3851.784399999815,," { ""location"": ""kitchen"", ""sensor"": ""temperature"", ""value"": 31.5, ""unit"": ""C"", ""status"": ""warning"" }\nAnswer:\n{""location"": ""kitchen"", ""sensor"": ""temperature"", ""value"": 31.5, ""unit"": ""","{""location"": ""kitchen"", ""sensor"": ""temperature"", ""value"": 31.5, ""unit"": ""C"", ""status"": ""warning""}"
RTX_5060_Ti_8GB,hf,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,extract_002,json_extract,1,1.0,5,5,3461.269400000674,," { ""location"": ""warehouse"", ""sensor"": ""humidity"", ""value"": 78, ""unit"": ""percent"", ""status"": ""high"" }\nAnswer:\n{""location"": ""warehouse"", ""sensor"": ""humidity"", ""value"": 78, ""unit"": ""percent"", ""status"": ""","{""location"": ""warehouse"", ""sensor"": ""humidity"", ""value"": 78, ""unit"": ""percent"", ""status"": ""high""}"
RTX_5060_Ti_8GB,hf,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,extract_003,json_extract,1,1.0,5,5,3600.013899998885,," { ""location"": ""pump room"", ""sensor"": ""vibration"", ""value"": 6.2, ""unit"": ""mm/s"", ""status"": ""critical"" }\nAnswer:\n{""location"": ""pump room"", ""sensor"": ""vibration"", ""value"": 6.2, ""","{""location"": ""pump room"", ""sensor"": ""vibration"", ""value"": 6.2, ""unit"": ""mm/s"", ""status"": ""critical""}"
RTX_5060_Ti_8GB,hf,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,extract_004,json_extract,1,0.8,4,5,3384.7179999993386,," { ""location"": ""Outdoor"", ""sensor"": ""air-quality"", ""value"": 940, ""unit"": ""ppm"", ""status"": ""normal"" }\nAnswer:\n{""location"": ""Outdoor"", ""sensor"": ""air-quality"", ""value"": 940, ""unit"": ""pp","{""location"": ""Outdoor"", ""sensor"": ""air-quality"", ""value"": 940, ""unit"": ""ppm"", ""status"": ""normal""}"
RTX_5060_Ti_8GB,hf,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,extract_005,json_extract,1,1.0,5,5,4020.3682000010303,," { ""location"": ""Greenhouse"", ""sensor"": ""soil_moisture"", ""value"": 19, ""unit"": ""percent"", ""status"": ""low"" }\nAnswer:\n{""location"": ""Greenhouse"", ""sensor"": ""soil_moisture"", ""value"": 19,","{""location"": ""Greenhouse"", ""sensor"": ""soil_moisture"", ""value"": 19, ""unit"": ""percent"", ""status"": ""low""}"
RTX_5060_Ti_8GB,hf,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,extract_006,json_extract,1,1.0,5,5,3602.888700001131,," { ""location"": ""Rack 3"", ""sensor"": ""current"", ""value"": 12.4, ""unit"": ""A"", ""status"": ""overload"" }\nAnswer:\n{""location"": ""Rack 3"", ""sensor"": ""current"", ""value"": 12.4","{""location"": ""Rack 3"", ""sensor"": ""current"", ""value"": 12.4, ""unit"": ""A"", ""status"": ""overload""}"
RTX_5060_Ti_8GB,hf,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,control_001,control_intent,1,0.5,2,4,3409.4227999994473,," { ""action"": ""SET"", ""target"": ""fan"", ""value"": ""70"", ""unit"": ""percent"" }\nAnswer:\n{""action"": ""SET"", ""target"": ""fan"", ""value"": ""70"", ""unit"": ""percent""}\n\nAnswer:\n{""action"": ""SET"", ""target","{""action"": ""SET"", ""target"": ""fan"", ""value"": ""70"", ""unit"": ""percent""}"
RTX_5060_Ti_8GB,hf,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,control_002,control_intent,1,0.5,2,4,3559.8701999988407,," { ""action"": ""turn_off"", ""target"": ""irrigation_pump_2"", ""value"": ""now"", ""unit"": ""now"" }\nAnswer:\n{""action"": ""turn_off"", ""target"": ""irrigation_pump_2"", ""value"": ""now"", ""unit"": ""","{""action"": ""turn_off"", ""target"": ""irrigation_pump_2"", ""value"": ""now"", ""unit"": ""now""}"
RTX_5060_Ti_8GB,hf,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,control_003,control_intent,1,0.5,2,4,3380.5350000002363,," { ""action"": ""raise"", ""target"": ""freezer"", ""value"": ""12"", ""unit"": ""C"" }\nAnswer:\n{""action"": ""raise"", ""target"": ""freezer"", ""value"": ""12"", ""unit"": ""C""} \n\n```json\n{""action"": ""","{""action"": ""raise"", ""target"": ""freezer"", ""value"": ""12"", ""unit"": ""C""}"
RTX_5060_Ti_8GB,hf,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,control_004,control_intent,1,0.75,3,4,3429.1677000001073,," { ""action"": ""lower"", ""target"": ""speed"", ""value"": 1.5, ""unit"": ""m/s"" }\nAnswer:\n{""action"": ""lower"", ""target"": ""speed"", ""value"": 1.5, ""unit"": ""m/s""}\n\nAnswer:\n{""action"": ""","{""action"": ""lower"", ""target"": ""speed"", ""value"": 1.5, ""unit"": ""m/s""}"
