device,framework,model,dtype,prompt_id,run_label,batch_size,input_tokens,max_new_tokens,model_load_ms,wall_ms_batch,wall_ms_per_request,output_tokens_batch,output_tokens_per_request,tokens_per_sec_per_request,peak_torch_memory_mb,gpu_mem_used_mb_avg,gpu_mem_used_mb_max,gpu_mem_total_mb_avg,gpu_mem_total_mb_max,power_w_avg,power_w_max,temperature_c_avg,temperature_c_max,gpu_util_pct_avg,gpu_util_pct_max,nvidia_samples
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_01,cold_after_load,1,128,16,1698.7110000009125,1797.4090000006981,1797.4090000006981,16,16,8.901702394943936,1465.146484375,3408.0,3418.0,8151.0,8151.0,39.36,42.94,47.0,48.0,26.714285714285715,55.0,7
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_01,warm1,1,128,16,1698.7110000009125,1027.7221999986068,1027.7221999986068,16,16,15.568409439848326,1465.146484375,3418.0,3418.0,8151.0,8151.0,45.705,45.73,47.5,48.0,30.0,30.0,4
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_04,cold_after_load,1,128,16,1698.7110000009125,1024.6050000005198,1024.6050000005198,16,16,15.615773883586243,1465.146484375,3418.0,3418.0,8151.0,8151.0,45.849999999999994,46.04,47.5,48.0,29.5,32.0,4
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_04,warm1,1,128,16,1698.7110000009125,1024.9977000003128,1024.9977000003128,16,16,15.60979112440459,1465.146484375,3418.0,3418.0,8151.0,8151.0,46.305,46.57,47.5,48.0,28.5,31.0,4
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_08,cold_after_load,1,128,16,1698.7110000009125,1012.2258999999758,1012.2258999999758,16,16,15.806748276249781,1465.146484375,3418.0,3418.0,8151.0,8151.0,46.47,46.57,48.0,48.0,30.5,31.0,4
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_08,warm1,1,128,16,1698.7110000009125,1005.6451000000379,1005.6451000000379,16,16,15.910185412328262,1465.146484375,3418.0,3418.0,8151.0,8151.0,46.495000000000005,47.03,48.0,49.0,29.5,31.0,4
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_10,cold_after_load,1,128,16,1698.7110000009125,1025.7039999996778,1025.7039999996778,16,16,15.599042218812667,1465.146484375,3418.0,3418.0,8151.0,8151.0,46.370000000000005,46.53,47.5,48.0,29.0,30.0,4
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_10,warm1,1,128,16,1698.7110000009125,1004.5847999990656,1004.5847999990656,16,16,15.926977991320276,1465.146484375,3418.0,3418.0,8151.0,8151.0,46.04,46.3,48.0,49.0,30.0,32.0,4
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_01,cold_after_load,1,128,64,1698.7110000009125,3829.972799998359,3829.972799998359,64,64,16.710301441312435,1469.7587890625,3418.6666666666665,3420.0,8151.0,8151.0,46.772666666666666,47.35,48.266666666666666,49.0,30.0,31.0,15
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_01,warm1,1,128,64,1698.7110000009125,3923.9297000003717,3923.9297000003717,64,64,16.310180072796395,1469.7587890625,3420.0,3420.0,8151.0,8151.0,46.62466666666667,47.25,48.666666666666664,50.0,30.133333333333333,33.0,15
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_04,cold_after_load,1,128,64,1698.7110000009125,3833.252200000061,3833.252200000061,64,64,16.69600554849978,1469.7587890625,3420.0,3420.0,8151.0,8151.0,46.589333333333336,47.45,48.53333333333333,50.0,28.733333333333334,32.0,15
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_04,warm1,1,128,64,1698.7110000009125,4539.372199998979,4539.372199998979,64,64,14.09886591806999,1469.7587890625,3420.0,3420.0,8151.0,8151.0,45.38823529411765,47.25,48.35294117647059,49.0,27.470588235294116,32.0,17
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_08,cold_after_load,1,128,64,1698.7110000009125,3853.3629000012297,3853.3629000012297,64,64,16.608869099762074,1469.7587890625,3420.0,3420.0,8151.0,8151.0,46.82333333333334,47.37,48.46666666666667,49.0,30.0,33.0,15
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_08,warm1,1,128,64,1698.7110000009125,4010.9615000001213,4010.9615000001213,64,64,15.95627382611328,1469.7587890625,3420.0,3420.0,8151.0,8151.0,46.5225,47.38,48.5,49.0,29.5,33.0,16
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_10,cold_after_load,1,128,64,1698.7110000009125,3859.752299998945,3859.752299998945,64,64,16.581374923986054,1469.7587890625,3420.0,3420.0,8151.0,8151.0,46.43933333333334,47.45,48.733333333333334,49.0,30.066666666666666,33.0,15
