input_tokens,max_new_tokens,batch_size,run_label,latency_ms_n,latency_ms_mean,latency_ms_std,latency_ms_p50,latency_ms_p95,tokens_per_sec_n,tokens_per_sec_mean,tokens_per_sec_std,tokens_per_sec_p50,tokens_per_sec_p95,power_w_n,power_w_mean,power_w_std,power_w_p50,power_w_p95,peak_torch_memory_mb_n,peak_torch_memory_mb_mean,peak_torch_memory_mb_std,peak_torch_memory_mb_p50,peak_torch_memory_mb_p95,gpu_mem_used_mb_mean,gpu_mem_used_mb_max
128,16,1,cold_after_load,4,1214.9859750002179,388.33010432137684,1025.1545000000988,1681.6532500005446,4,13.980816693398157,3.3873867541645306,15.607408051199457,15.77810211735025,4,44.5125,3.445735286795356,46.11,46.455,4,1465.146484375,0.0,1465.146484375,1465.146484375,3415.5,3418.0
128,16,1,warm1,4,1015.7374499995058,12.323738517761472,1015.3214000001753,1027.3135249988627,4,15.753840991975364,0.19109790090338885,15.759988268366426,15.924459104471474,4,46.13625,0.34274322264148166,46.1725,46.4665,4,1465.146484375,0.0,1465.146484375,1465.146484375,3418.0,3418.0
128,16,2,cold_after_load,4,517.508375000034,12.847405809145533,522.4954250002156,526.1538049998308,4,30.93199586473342,0.7853423056716643,30.622763237728922,31.88750992393549,4,39.9225,1.7596235392833317,39.0775,42.04625,4,1488.462890625,0.0,1488.462890625,1488.462890625,3783.0,3783.0
128,16,2,warm1,4,513.3208624999952,7.626641741838567,512.0690749999994,521.7433650003386,4,31.174729212174306,0.4613584119377086,31.247935009257258,31.579962098294995,4,39.598124999999996,0.9539291007022833,39.5075,40.571625,4,1488.462890625,0.0,1488.462890625,1488.462890625,3783.0,3783.0
128,64,1,cold_after_load,4,3844.0850499996486,14.697476681443955,3843.3075500006453,3858.793889999288,4,16.649137753390086,0.06364210464925311,16.65243732413093,16.708157057390537,4,46.65616666666667,0.17606848415065895,46.681,46.815733333333334,4,1469.7587890625,0.0,1469.7587890625,1469.7587890625,3419.6666666666665,3420.0
128,64,1,warm1,4,4090.872549999858,303.3527295742077,3967.4456000002465,4460.110594999151,4,15.705258203428059,1.0912711062676372,16.133226949454837,16.433883058142147,4,46.41118382352941,0.7284235597789563,46.57358333333333,47.036633333333334,4,1469.7587890625,0.0,1469.7587890625,1469.7587890625,3420.0,3420.0
128,64,2,cold_after_load,4,1815.8660375004274,74.69810810504858,1790.80707500043,1905.6754175001515,4,35.28817689111912,1.4032563559754792,35.73830524105061,36.341405521445814,4,40.048988095238094,0.2698975460691543,40.15119047619048,40.233964285714286,4,1497.33056640625,0.0,1497.33056640625,1497.33056640625,3783.0,3783.0
128,64,2,warm1,4,1824.1129499999715,57.797540256468025,1800.0865500002874,1894.3347299999914,4,35.11121777603765,1.080293423693937,35.55418037356711,35.80372999583509,4,40.178714285714285,0.3593097312809648,40.212428571428575,40.493371428571436,4,1497.33056640625,0.0,1497.33056640625,1497.33056640625,3783.0,3783.0
128,128,1,cold_after_load,4,7787.2775249998085,821.0004130887303,7690.166849999514,8707.534325000506,4,16.571296814294822,1.7040222954366586,16.645139940822762,18.30339212353862,4,44.38628322440087,3.4757074599989264,45.43652941176471,47.01436666666667,4,1478.279296875,0.0,1478.279296875,1478.279296875,3428.485784313725,3455.0
128,128,1,warm1,4,7604.46842500005,353.8898634700447,7670.329649999985,7921.9493599996895,4,16.86031435954387,0.8056945855782633,16.68797162861442,17.802028661344924,4,43.28899212749616,4.412594584787575,43.28315092165899,47.24606075268817,4,1478.279296875,0.0,1478.279296875,1478.279296875,3427.383333333333,3431.0
128,128,2,cold_after_load,4,3648.2698375002656,109.11864117630597,3639.7239249999984,3763.9779000002823,4,35.10859020831935,1.046204752848622,35.17735295059022,36.112612950650174,4,40.38467980295567,0.12329003181311017,40.384901477832514,40.50892857142857,4,1514.84033203125,0.0,1514.84033203125,1514.84033203125,3786.125,3834.0
128,128,2,warm1,4,3751.835962499854,61.74966092737889,3732.511799999884,3825.9570200001235,4,34.12347248281003,0.5543261050610413,34.293339107573516,34.550280705721825,4,40.33875287356322,0.3954045858327326,40.321724137931035,40.76706896551724,4,1514.84033203125,0.0,1514.84033203125,1514.84033203125,3784.9419540229887,3834.0
512,16,1,cold_after_load,4,1011.5892000003441,8.897085644967047,1009.8314500000924,1021.9766550008899,4,15.817610579476877,0.138479622197215,15.844276837055979,15.941666220574767,4,43.00375,0.49662821439516774,42.85,43.597500000000004,4,1560.04443359375,0.0,1560.04443359375,1560.04443359375,3542.125,3546.0
512,16,1,warm1,4,1021.9941250002194,7.517288749907926,1022.8151999999682,1029.0765650010144,4,15.656303623216337,0.11534796727478035,15.64330205722126,15.782872242305201,4,43.045,0.45925664575122505,42.9575,43.5755,4,1560.04443359375,0.0,1560.04443359375,1560.04443359375,3546.0,3546.0
