"sample","target","rtt_ms","received"
"0","192.168.5.111","3","1"
"1","192.168.5.111","4","1"
"2","192.168.5.111","2","1"
"3","192.168.5.111","2","1"
"4","192.168.5.111","2","1"
"5","192.168.5.111","3","1"
"6","192.168.5.111","4","1"
"7","192.168.5.111","4","1"
"8","192.168.5.111","3","1"
"9","192.168.5.111","3","1"
"10","192.168.5.111","3","1"
"11","192.168.5.111","2","1"
"12","192.168.5.111","2","1"
"13","192.168.5.111","3","1"
"14","192.168.5.111","3","1"
"15","192.168.5.111","2","1"
"16","192.168.5.111","4","1"
"17","192.168.5.111","2","1"
"18","192.168.5.111","2","1"
"19","192.168.5.111","3","1"
"20","192.168.5.111","2","1"
"21","192.168.5.111","3","1"
"22","192.168.5.111","2","1"
"23","192.168.5.111","2","1"
"24","192.168.5.111","3","1"
"25","192.168.5.111","2","1"
"26","192.168.5.111","3","1"
"27","192.168.5.111","3","1"
"28","192.168.5.111","3","1"
"29","192.168.5.111","3","1"
"30","192.168.5.111","3","1"
"31","192.168.5.111","3","1"
"32","192.168.5.111","3","1"
"33","192.168.5.111","3","1"
"34","192.168.5.111","3","1"
"35","192.168.5.111","3","1"
"36","192.168.5.111","1","1"
"37","192.168.5.111","2","1"
"38","192.168.5.111","3","1"
"39","192.168.5.111","3","1"
"40","192.168.5.111","3","1"
"41","192.168.5.111","3","1"
"42","192.168.5.111","3","1"
"43","192.168.5.111","3","1"
"44","192.168.5.111","3","1"
"45","192.168.5.111","3","1"
"46","192.168.5.111","2","1"
"47","192.168.5.111","3","1"
"48","192.168.5.111","5","1"
"49","192.168.5.111","3","1"
"50","192.168.5.111","2","1"
"51","192.168.5.111","2","1"
"52","192.168.5.111","4","1"
"53","192.168.5.111","3","1"
"54","192.168.5.111","3","1"
"55","192.168.5.111","2","1"
"56","192.168.5.111","3","1"
"57","192.168.5.111","4","1"
"58","192.168.5.111","3","1"
"59","192.168.5.111","3","1"
"60","192.168.5.111","4","1"
"61","192.168.5.111","3","1"
"62","192.168.5.111","3","1"
"63","192.168.5.111","2","1"
"64","192.168.5.111","3","1"
"65","192.168.5.111","3","1"
"66","192.168.5.111","3","1"
"67","192.168.5.111","1","1"
"68","192.168.5.111","1","1"
"69","192.168.5.111","2","1"
"70","192.168.5.111","2","1"
"71","192.168.5.111","1","1"
"72","192.168.5.111","3","1"
"73","192.168.5.111","3","1"
"74","192.168.5.111","3","1"
"75","192.168.5.111","2","1"
"76","192.168.5.111","2","1"
"77","192.168.5.111","4","1"
"78","192.168.5.111","2","1"
"79","192.168.5.111","3","1"
"80","192.168.5.111","2","1"
"81","192.168.5.111","3","1"
"82","192.168.5.111","3","1"
"83","192.168.5.111","3","1"
"84","192.168.5.111","2","1"
"85","192.168.5.111","2","1"
"86","192.168.5.111","3","1"
"87","192.168.5.111","3","1"
"88","192.168.5.111","4","1"
"89","192.168.5.111","2","1"
"90","192.168.5.111","2","1"
"91","192.168.5.111","3","1"
"92","192.168.5.111","2","1"
"93","192.168.5.111","2","1"
"94","192.168.5.111","2","1"
"95","192.168.5.111","4","1"
"96","192.168.5.111","2","1"
"97","192.168.5.111","1","1"
"98","192.168.5.111","3","1"
"99","192.168.5.111","4","1"
"100","192.168.5.111","3","1"
"101","192.168.5.111","3","1"
"102","192.168.5.111","3","1"
"103","192.168.5.111","3","1"
"104","192.168.5.111","3","1"
"105","192.168.5.111","5","1"
"106","192.168.5.111","2","1"
"107","192.168.5.111","2","1"
"108","192.168.5.111","3","1"
"109","192.168.5.111","2","1"
"110","192.168.5.111","2","1"
"111","192.168.5.111","2","1"
"112","192.168.5.111","2","1"
"113","192.168.5.111","3","1"
"114","192.168.5.111","3","1"
"115","192.168.5.111","2","1"
"116","192.168.5.111","2","1"
"117","192.168.5.111","2","1"
"118","192.168.5.111","3","1"
"119","192.168.5.111","3","1"
