device,framework,model,model_file,quantization,prompt_id,run_label,num_predict,wall_ms,ttft_ms,ollama_total_ms,load_ms,prompt_tokens,prompt_eval_ms,output_tokens,eval_ms,tokens_per_sec,ram_used_mb_avg,ram_used_mb_max,ram_total_mb_avg,ram_total_mb_max,swap_used_mb_avg,swap_used_mb_max,gr3d_freq_pct_avg,gr3d_freq_pct_max,temp_cpu_c_avg,temp_cpu_c_max,temp_gpu_c_avg,temp_gpu_c_max,board_power_input_avg,board_power_input_max,cpu_power_input_avg,cpu_power_input_max,gpu_power_input_avg,gpu_power_input_max,output_chars
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_01,cold,16,6085.255861282349,3564.289093017578,5452.771896,2418.615377,21,1036.615857,16,1863.81889,8.584525076897359,2388.75,2667.0,3964.0,3964.0,777.0,784.0,0.0,0.0,43.666666666666664,46.5,40.416666666666664,41.0,4455.8,5824.0,2344.0,3281.0,0.0,0.0,75
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_04,cold,16,3924.6580600738525,1461.5528583526611,3280.850699,506.473122,18,907.136295,16,1843.172606,8.68068456959261,2702.0,2707.0,3964.0,3964.0,784.0,784.0,0.0,0.0,44.57142857142857,46.5,40.785714285714285,41.5,4633.666666666667,5824.0,2759.0,3721.0,0.0,0.0,94
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_08,cold,16,3820.8372592926025,1387.9497051239014,3204.787531,406.431207,18,961.707673,16,1786.570379,8.955706524674223,2708.1428571428573,2709.0,3964.0,3964.0,784.0,784.0,0.0,0.0,44.92857142857143,46.5,40.785714285714285,41.5,4566.0,5824.0,2612.6666666666665,3403.0,0.0,0.0,70
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_10,cold,16,3875.9944438934326,1498.1164932250977,3356.843604,418.596193,20,1061.79775,16,1846.636702,8.664400519426046,2714.285714285714,2716.0,3964.0,3964.0,784.0,784.0,0.0,0.0,45.142857142857146,46.5,41.07142857142857,41.5,4517.0,5833.0,2839.6666666666665,4125.0,0.0,0.0,77
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_14,cold,16,3774.2249965667725,1452.5461196899414,3223.90864,416.320673,20,1015.093806,16,1769.299879,9.043125017926934,2714.285714285714,2715.0,3964.0,3964.0,784.0,784.0,0.0,0.0,44.785714285714285,46.5,41.0,41.5,4579.333333333333,5864.0,2745.6666666666665,3802.0,0.0,0.0,79
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_17,cold,16,3820.789575576782,1184.8905086517334,3000.17613,418.047475,15,748.511425,16,1794.751636,8.914882526954832,2711.714285714286,2712.0,3964.0,3964.0,784.0,784.0,0.0,0.0,44.857142857142854,46.5,39.642857142857146,41.5,4593.333333333333,5752.0,2505.3333333333335,3316.0,13.333333333333334,40.0,79
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_21,cold,16,3809.1390132904053,1329.8823833465576,3096.432302,412.406782,17,898.740763,16,1760.947847,9.086015822250527,2714.4285714285716,2715.0,3964.0,3964.0,784.0,784.0,0.0,0.0,44.357142857142854,46.5,37.42857142857143,37.5,4684.333333333333,5945.0,2571.0,3478.0,40.333333333333336,41.0,108
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_24,cold,16,5081.224203109741,1850.3410816192627,3911.280093,461.873214,25,1375.77459,16,1995.958452,8.016198926369235,2726.2,2731.0,3964.0,3964.0,784.0,784.0,0.0,0.0,44.5,46.5,37.4,38.0,5034.5,5671.0,3001.75,4044.0,40.25,41.0,80
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_01,cold,32,6307.703733444214,1487.4908924102783,5547.596524,416.216018,21,1052.340258,32,3893.991857,8.217788114393583,2722.25,2724.0,3964.0,3964.0,784.0,784.0,0.0,0.0,44.875,46.5,37.458333333333336,37.5,4558.4,5905.0,2727.0,4119.0,40.4,41.0,166
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_04,cold,32,6493.032932281494,1376.8634796142578,5410.526323,413.823669,18,943.20633,32,3886.895141,8.232792200246289,2708.5,2715.0,3964.0,3964.0,784.0,784.0,0.0,0.0,44.875,46.5,37.458333333333336,38.0,5031.0,5905.0,2901.4,3599.0,40.2,41.0,201
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_08,cold,32,6268.477439880371,1329.1542530059814,5353.899758,407.190714,18,902.597302,32,3960.608259,8.079567053187828,2710.8333333333335,2711.0,3964.0,3964.0,784.0,784.0,0.0,0.0,45.166666666666664,46.5,37.541666666666664,38.0,5001.4,5905.0,2838.8,3367.0,40.2,41.0,143
