strategy,phase,joint_sla_rate_mean,joint_sla_rate_std,mean_latency_ms_mean,mean_latency_ms_std,mean_energy_j_mean,mean_energy_j_std,q8_action_rate_mean,q8_action_rate_std,reward_mean,reward_std
adaptive_linucb,post_shift,0.89204,0.0044340099734263,7413.264785774986,257.3948167909604,36.91853399810996,1.3540207405203792,0.95344,0.0643068892110324,0.537147614508074,0.0086817244618571
adaptive_linucb,pre_shift,1.0,0.0,3981.870967664388,6.002877800036809,18.861480287745486,0.0316199259964869,0.9888,0.0077287342646343,0.8090621568439971,0.0002895203415726
dynamic_budget_q8,post_shift,0.00324,0.000857904423581,13306.618488062584,16.51274378937677,67.9124431167536,0.085798599985953,1.0,0.0,-0.6251148573172702,0.0010898553098364
dynamic_budget_q8,pre_shift,1.0,0.0,6837.073302892871,13.283903159287473,33.87869295235809,0.0669481410296789,1.0,0.0,0.6765266796351372,0.0005020312883946
greedy_sla_ewma,post_shift,0.8955399999999999,0.0021889622097138,7582.208528881088,8.390563783068966,37.80204673145893,0.0418004085455725,1.0,0.0,0.5323607935158552,0.0025186433422092
greedy_sla_ewma,pre_shift,1.0,0.0,3981.254450906377,7.324300906194177,18.85873455539364,0.0393938447683296,0.984,0.0,0.809098366666656,0.0003546106041033
greedy_sla_stale,post_shift,0.89666,0.0022901722400048,7577.37808378545,8.09152083134663,37.77663859025588,0.041503197231226,1.0,0.0,0.5336918680958602,0.0025817231235882
greedy_sla_stale,pre_shift,1.0,0.0,3980.893810042448,7.36424410889431,18.85683892043511,0.0364574725960024,0.984,0.0,0.8091205603799422,0.0003482885660835
linucb_online,post_shift,0.89588,0.0019758542456365,7580.855768557407,7.060297318108534,37.79493121215637,0.0375078541374325,1.0,0.0,0.5327468282023717,0.0022403248077537
linucb_online,pre_shift,1.0,0.0,3981.725895071773,8.336987213727815,18.860722968776965,0.0337323074952761,0.9888,0.0077287342646343,0.8090631539071744,0.0004055743658182
oracle_adaptive,post_shift,0.8940199999999999,0.0021175457492106,7583.908596985986,8.210492683580307,37.8109890896907,0.0438050497186069,1.0,0.0,0.5307227191580081,0.0023686193120425
oracle_adaptive,pre_shift,1.0,0.0,3983.3507321829807,8.337522898227542,18.86976515351977,0.0319003387207737,0.984,0.0,0.8089859430436654,0.0004027345024333
q_frozen,post_shift,0.85904,0.0292743042426099,7777.5680086365,166.94102522104603,38.8296375949724,0.8778916818926227,1.0,0.0,0.486979752905287,0.0375470455934444
q_frozen,pre_shift,1.0,0.0,4073.352999737586,81.24594615087065,19.343174870200144,0.4260461914048442,0.984,0.0,0.8048995451314578,0.0040835385785049
q_online,post_shift,0.90512,0.0065761859935849,6606.283121081823,153.46746076143927,32.7054503279082,0.8073344465259483,0.68706,0.0362486536148432,0.5917129139096942,0.0133301673805511
q_online,pre_shift,0.98112,0.0022014136872069,4133.445455528,84.26051896344744,19.69679023420663,0.4397501842532709,0.66742,0.0437744166786441,0.7823387824873952,0.0052826686196851
